000676.SZ,ST思達
000677.SZ,*ST海龍
000678.SZ,襄陽軸承
000679.SZ,大連友誼
000680.SZ,山推股份
000681.SZ,*ST遠東
000682.SZ,東方電子
000683.SZ,遠興能源
000685.SZ,中山公用
000686.SZ,東北證券
000687.SZ,保定天鵝
000690.SZ,寶新能源
000691.SZ,亞太實業
000692.SZ,惠天熱電
000695.SZ,濱海能源
000697.SZ,煉石有色
000698.SZ,沈陽化工
000700.SZ,模塑科技
000701.SZ,廈門信達
000702.SZ,正虹科技
000703.SZ,恒逸石化
000705.SZ,浙江震元
000707.SZ,雙環科技
000708.SZ,大冶特鋼
000709.SZ,河北鋼鐵
000710.SZ,天興儀表
000711.SZ,天倫置業
000712.SZ,錦龍股份
000713.SZ,豐樂種業
000715.SZ,中興商業
000716.SZ,南方食品
000717.SZ,*ST韶鋼
000718.SZ,蘇寧環球
000719.SZ,大地傳媒
000720.SZ,*ST能山
000721.SZ,西安飲食
000722.SZ,湖南發展
000723.SZ,美錦能源
000725.SZ,京東方Ａ
000726.SZ,魯  泰Ａ
000727.SZ,華東科技
000728.SZ,國元證券
000729.SZ,燕京啤酒
000731.SZ,四川美豐
000732.SZ,泰禾集團
000733.SZ,振華科技
000735.SZ,羅 牛 山
000736.SZ,中房地產
000737.SZ,南風化工
000738.SZ,中航動控
000739.SZ,普洛股份
000748.SZ,長城信息
000750.SZ,國海證券
000751.SZ,*ST鋅業
000752.SZ,西藏發展
000753.SZ,漳州發展
000755.SZ,山西三維
000756.SZ,新華制藥
000757.SZ,*ST浩物
000758.SZ,中色股份
000759.SZ,中百集團
000760.SZ,博盈投資
000761.SZ,本鋼板材
000762.SZ,西藏礦業
000766.SZ,通化金馬
000767.SZ,*ST漳電
000768.SZ,中航飛機
000776.SZ,廣發證券
000777.SZ,中核科技
000778.SZ,新興鑄管
000779.SZ,三毛派神
000780.SZ,平莊能源
000782.SZ,美達股份
000783.SZ,長江證券
000785.SZ,武漢中商
000786.SZ,北新建材
000788.SZ,西南合成
000789.SZ,江西水泥
000790.SZ,華神集團
000791.SZ,甘肅電投
000792.SZ,鹽湖股份
000793.SZ,華聞傳媒
000795.SZ,太原剛玉
000796.SZ,易食股份
000797.SZ,中國武夷
000798.SZ,中水漁業
000799.SZ,酒 鬼 酒
000800.SZ,一汽轎車
000801.SZ,四川九洲
000802.SZ,北京旅游
000803.SZ,金宇車城
000806.SZ,*ST銀河
000807.SZ,云鋁股份
000809.SZ,鐵嶺新城
000810.SZ,華潤錦華
000811.SZ,煙臺冰輪
000812.SZ,陜西金葉
000813.SZ,天山紡織
000815.SZ,*ST美利
000816.SZ,江淮動力
000818.SZ,方大化工
000819.SZ,岳陽興長
000821.SZ,京山輕機
000822.SZ,山東海化
000823.SZ,超聲電子
000825.SZ,太鋼不銹
000826.SZ,桑德環境
000828.SZ,東莞控股
